Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
0,2016,NonResidential,Hotel,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,Hotel,88434.0,No Use,0.0,No Use,0.0,60.0,7456910.0,Normal,47.6122,-122.33799,249.98,2.83,22.830146692043865
3,2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,10.0,61320,0,61320,Hotel,61320.0,No Use,0.0,No Use,0.0,56.0,6946800.5,Normal,47.61412,-122.33664,286.43,4.67,22.72791744324119
5,2016,Nonresidential COS,Other,7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,Police Station,88830.0,No Use,0.0,No Use,0.0,,12581712.0,Normal,47.61623,-122.33657,301.81,3.1,23.584825022705463
6,2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,Hotel,81352.0,No Use,0.0,No Use,0.0,27.0,6062767.5,Normal,47.6139,-122.33283,176.14,2.12,22.531545305126283
7,2016,NonResidential,Other,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,102761.0,No Use,0.0,No Use,0.0,,7067881.5,Normal,47.61327,-122.33136,221.51,2.16,22.752846625331934
8,2016,NonResidential,Hotel,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,Hotel,163984.0,No Use,0.0,No Use,0.0,43.0,14194054.0,Normal,47.60294,-122.33263,392.16,2.39,23.758783465919382
10,2016,NonResidential,Hotel,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,Hotel,133884.0,No Use,0.0,No Use,0.0,30.0,16646930.0,Normal,47.60695,-122.33414,691.26,4.51,23.988752893208332
11,2016,NonResidential,Hotel,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,Hotel,336640.0,No Use,0.0,No Use,0.0,36.0,27070114.0,Normal,47.60713,-122.33323,740.97,2.22,24.69019768067381
12,2016,NonResidential,Hotel,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,Hotel,65009.0,No Use,0.0,No Use,0.0,48.0,6358719.5,Normal,47.60699,-122.33346,328.23,5.05,22.600305065335228
13,2016,NonResidential,Hotel,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,Hotel,295511.0,Parking,57600.0,No Use,0.0,58.0,22524948.0,Normal,47.60809,-122.33212,648.62,2.05,24.425020503767314
